condition,seed,fixed_priority_critical_fcq_rate,fixed_priority_high_hostility_fcq_rate,fixed_priority_mean_critical_covariance,fixed_priority_low_value_task_fraction,fixed_priority_assignments_per_step,fixed_priority_median_shift_response_delay,fixed_priority_missed_shift_count,fixed_priority_critical_track_count,fixed_priority_track_count,greedy_uncertainty_critical_fcq_rate,greedy_uncertainty_high_hostility_fcq_rate,greedy_uncertainty_mean_critical_covariance,greedy_uncertainty_low_value_task_fraction,greedy_uncertainty_assignments_per_step,greedy_uncertainty_median_shift_response_delay,greedy_uncertainty_missed_shift_count,greedy_uncertainty_critical_track_count,greedy_uncertainty_track_count,adaptive_sensor_manager_critical_fcq_rate,adaptive_sensor_manager_high_hostility_fcq_rate,adaptive_sensor_manager_mean_critical_covariance,adaptive_sensor_manager_low_value_task_fraction,adaptive_sensor_manager_assignments_per_step,adaptive_sensor_manager_median_shift_response_delay,adaptive_sensor_manager_missed_shift_count,adaptive_sensor_manager_critical_track_count,adaptive_sensor_manager_track_count
dense_raid,3920014,0.5242819843342037,0.5987201498361168,1.4451416117389895,0.056666666666666664,22.0,4.5,32,110,119,0.5473890339425588,0.5473700639925082,0.9989923077570556,0.0,22.0,0.0,18,110,119,0.6609660574412533,0.6611518651474949,0.9050326419295194,0.0,22.0,0.0,0,110,119
dense_raid,3930021,0.39825657038771795,0.4370748299319728,1.607525332030159,0.13090909090909092,22.0,5.0,52,129,139,0.31824095758521986,0.30318491032776745,1.1632014059619118,0.0,22.0,0.5,48,129,139,0.5088472547488941,0.4907235621521336,1.0354050988596375,0.0,22.0,0.0,13,129,139
dense_raid,3940028,0.5377477857444116,0.5703303892705267,1.2076976488587463,0.11666666666666667,22.0,4.0,25,109,119,0.524813721355265,0.50915930650965,1.0003519555391251,0.0,22.0,0.0,18,109,119,0.6877548151272318,0.681714098789663,0.8954208379651158,0.0,22.0,0.0,2,109,119
dense_raid,3950035,0.5914653784219002,0.646749342352499,1.3319888385253822,0.11757575757575757,22.0,5.0,24,106,121,0.547987117552335,0.5358887636226982,0.9778074974863737,0.0,22.0,0.0,21,106,121,0.7611916264090177,0.76869597895528,0.8553886139454745,0.0,22.0,0.0,5,106,121
dense_raid,3960042,0.5380293863439931,0.6184428492545555,1.4335563375675895,0.09303030303030303,22.0,5.0,37,112,120,0.5694324402189571,0.5420577949567458,0.9793159176443745,0.0,22.0,0.0,22,112,120,0.7368193604148661,0.732744340143567,0.8754296310575816,0.0,22.0,0.0,7,112,120
dense_raid,3970049,0.4724837554700968,0.5365853658536586,1.4091787980558557,0.11333333333333333,22.0,5.0,38,117,126,0.5147858374220926,0.5075175409288339,1.0245194872026617,0.0,22.0,0.0,19,117,126,0.6878398090438934,0.6787504176411627,0.9070288879939875,0.0,22.0,0.0,0,117,126
dense_raid,3980056,0.5679344346267128,0.6238272524199553,1.347094345910117,0.05515151515151515,22.0,4.0,27,109,116,0.46612882571391984,0.4573343261355175,1.030642109304423,0.0,22.0,0.0,14,109,116,0.6050710718401844,0.5971705137751303,0.9267449474228852,0.0,22.0,0.0,0,109,116
dense_raid,3990063,0.606737012987013,0.6673061550759393,1.2644832605410905,0.05787878787878788,22.0,4.0,24,105,116,0.5595238095238095,0.5558752997601919,0.9736950504271317,0.0,22.0,0.0,12,105,116,0.737012987012987,0.7453237410071942,0.8636053480738926,0.0,22.0,0.0,0,105,116
dense_raid,4000070,0.4705276705276705,0.495096625324488,1.3548072494863324,0.09818181818181818,22.0,6.0,40,126,135,0.4034749034749035,0.41029708681857513,1.1097107103349235,0.0,22.0,0.0,37,126,135,0.5684684684684684,0.5751370060571099,0.9956604194521027,0.0,22.0,0.0,4,126,135
dense_raid,4010077,0.5157680569684638,0.5920634920634921,1.4429516227537258,0.09454545454545454,22.0,4.0,26,118,127,0.5438708036622584,0.5355555555555556,0.9920424727850231,0.0,22.0,0.0,22,118,127,0.6908697863682605,0.7,0.8944860733351843,0.0,22.0,0.0,3,118,127
dense_raid,4020084,0.4427453341360626,0.5009928211394532,1.5117286492997268,0.07484848484848484,22.0,5.0,43,117,125,0.3654425045153522,0.36428898732243775,1.110263761862164,0.0,22.0,0.0,32,117,125,0.5601444912703191,0.5550633878112112,0.9939389402693392,0.0,22.0,0.0,3,117,125
dense_raid,4030091,0.508613503751042,0.554980148455032,1.3366747721075432,0.10303030303030303,22.0,5.0,26,113,117,0.5602945262572937,0.5636112549628862,0.9895608143750894,0.0,22.0,0.0,17,113,117,0.6868574604056682,0.6956671845330571,0.8913669333919343,0.0,22.0,0.0,1,113,117
dense_raid,4040098,0.5456319423596517,0.5803888419273034,1.3103511656662412,0.12303030303030303,22.0,5.0,21,106,115,0.5313719603722605,0.5352493660185967,0.9811851804636383,0.0,22.0,0.0,18,106,115,0.7029420594416091,0.7186813186813187,0.8843646789050745,0.0,22.0,0.0,0,106,115
dense_raid,4050105,0.42770147706659756,0.45204262877442275,1.3703363085030404,0.09545454545454546,22.0,5.0,47,127,136,0.4311997926924074,0.4369449378330373,1.0696545988035155,0.0,22.0,0.0,33,127,136,0.6290489764187613,0.6311426879810539,0.9492417660576803,0.0,22.0,0.0,9,127,136
dense_raid,4060112,0.3993666877770741,0.4119533527696793,1.4398666214720355,0.10121212121212121,22.0,5.0,46,120,127,0.38340721975934133,0.374198250728863,1.0976739818303511,0.0,22.0,0.0,35,120,127,0.5473084230525649,0.5393586005830904,0.9992703040201608,0.0,22.0,0.0,2,120,127
dense_raid,4070119,0.63756201275691,0.6813646604441583,1.0899468892984547,0.04575757575757576,22.0,4.0,22,103,110,0.6202693125442948,0.626488574187319,0.9458516603338121,0.0,22.0,0.0,14,103,110,0.7597448618001418,0.7632764724814934,0.8429426154978957,0.0,22.0,0.0,7,103,110
dense_raid,4080126,0.6470334722022698,0.6749161743573368,0.9735709781598166,0.07454545454545454,22.0,4.0,10,98,110,0.7461571613273955,0.7544307839693437,0.886599611819872,0.0,22.0,0.0,4,98,110,0.8309150984054016,0.8329873862366278,0.8024808455325775,0.0,22.0,0.0,0,98,110
dense_raid,4090133,0.4373117033603708,0.4789356984478936,1.4236549850951445,0.04939393939393939,22.0,4.0,38,124,132,0.30845886442641945,0.31804323725055433,1.1575634928472864,0.0,22.0,0.0,39,124,132,0.5361529548088065,0.5411585365853658,1.024815769507671,0.0,22.0,0.0,7,124,132
dense_raid,4100140,0.512786980528916,0.559322033898305,1.4635363568438993,0.07121212121212121,22.0,5.0,41,114,123,0.458442313281023,0.45510991777143817,1.0455699565958272,0.0,22.0,0.0,33,114,123,0.5990990990990991,0.5954019130726632,0.9312995650564793,0.0,22.0,0.0,4,114,123
dense_raid,4110147,0.5390835579514824,0.6211999356602863,1.4820614106666588,0.06545454545454546,22.0,5.0,30,109,119,0.5416506225131562,0.5481743606240952,1.0004260242749596,0.0,22.0,0.0,23,109,119,0.6891284815813118,0.693903812128036,0.8959392505429132,0.0,22.0,0.0,0,109,119
dense_raid,4120154,0.5980875541610639,0.6449022346368715,1.2029767109395657,0.08878787878787879,22.0,4.0,27,105,118,0.5628268340056776,0.5602304469273743,0.9892245572701455,0.0,22.0,0.0,18,105,118,0.7492903033019572,0.7513966480446927,0.8589768035729034,0.0,22.0,0.0,3,105,118
dense_raid,4130161,0.5336003003378801,0.6016962220508867,1.3498353479156076,0.05909090909090909,22.0,4.0,29,113,122,0.5527468401952196,0.5543562066306862,0.9960167186111785,0.0,22.0,0.0,17,113,122,0.6840195219622075,0.6835774865073246,0.8904401325937068,0.0,22.0,0.0,0,113,122
sensor_degradation,3900000,0.8266269249875807,0.9044490892803823,0.8585957520835072,0.234320987654321,27.0,4.5,4,61,74,0.9885742672627919,1.0,0.5104651200961001,0.0,27.0,0.0,0,61,74,0.9970193740685543,1.0,0.6621745415846982,0.10064308681672025,20.733333333333334,0.0,0,61,74
sensor_degradation,3910007,0.8228545204222121,0.913506139154161,0.8922678143684789,0.21555555555555556,27.0,5.0,7,61,65,0.9931161083065626,1.0,0.518979310510048,0.0,27.0,0.0,0,61,65,0.9977053694355209,1.0,0.6699063767927325,0.17333734577189286,22.153333333333332,0.0,0,61,65
sensor_degradation,3920014,0.8776394152680022,0.9241964827167981,0.6495865577987395,0.20271604938271606,27.0,3.5,4,57,61,0.9924201407688142,1.0,0.44019878634016824,0.0,27.0,0.0,0,57,61,0.9986464537087169,1.0,0.6550548599551185,0.10612386917188588,19.16,0.0,0,57,61
sensor_degradation,3930021,0.8102648102648102,0.8287050570008769,0.7010156039217733,0.2617283950617284,27.0,5.0,10,64,73,0.9920829920829921,1.0,0.5478631423907875,0.0,27.0,0.0,0,64,73,0.9986349986349986,1.0,0.6632643123251797,0.19556868537666175,22.566666666666666,0.0,0,64,73
sensor_degradation,3940028,0.816482582837723,0.9161697649947387,0.8145274915161255,0.288641975308642,27.0,4.0,8,53,54,0.9906542056074766,1.0,0.43961587904487726,0.005925925925925926,27.0,0.0,0,53,54,0.9971679410931747,1.0,0.6529144536641794,0.1513647642679901,18.80666666666667,0.0,0,53,54
sensor_degradation,3950035,0.7782608695652173,0.9072664359861592,0.9647845623421011,0.28098765432098766,27.0,5.0,6,54,59,0.9861413043478261,1.0,0.4464244359200468,0.0007407407407407407,27.0,0.0,0,54,59,0.9964673913043478,1.0,0.6541288562953136,0.10810810810810811,18.993333333333332,0.0,0,54,59
sensor_degradation,3960042,0.8194594594594594,0.9062829062829063,0.7411723771568415,0.3575308641975309,27.0,5.0,3,56,60,0.9824324324324324,1.0,0.46697319562032047,0.0004938271604938272,27.0,0.0,0,56,60,0.9927027027027027,1.0,0.6591570661651099,0.16478029294274302,20.026666666666667,0.0,0,56,60
sensor_degradation,3970049,0.8216004813477737,0.8867538838920687,0.6969733538189924,0.3869135802469136,27.0,5.0,3,50,55,0.9756317689530686,1.0,0.421657096107313,0.0012345679012345679,27.0,0.0,0,50,55,0.9888688327316486,1.0,0.6582411714960583,0.10574797347089167,18.093333333333334,0.0,0,50,55
sensor_degradation,3980056,0.8152281746031746,0.8966338993148645,0.8343941463737776,0.3064197530864198,27.0,5.0,7,65,70,0.9890873015873016,1.0,0.49683487204590876,0.0,27.0,0.0,0,65,70,0.9965277777777778,1.0,0.6624524225180839,0.12090359529112313,20.953333333333333,0.0,0,65,70
sensor_degradation,3990063,0.8618365627632687,0.9195588712293221,0.6513678899857462,0.2958024691358025,27.0,4.0,4,52,60,0.9898904802021904,1.0,0.4065004818534848,0.0034567901234567903,27.0,0.0,0,52,60,0.9977534400449312,1.0,0.6450030660479764,0.12163656468853667,18.086666666666666,0.0,0,52,60
sensor_degradation,4000070,0.9034567901234568,0.9345156889495225,0.6070727857994149,0.16666666666666666,27.0,4.0,1,54,57,0.985679012345679,1.0,0.4695378684128384,0.0,27.0,0.0,0,54,57,0.9940740740740741,1.0,0.6626336537979252,0.15387171817879694,20.06,0.0,0,54,57
sensor_degradation,4010077,0.8450995603827256,0.9135200974421437,0.6951340401635797,0.2762962962962963,27.0,5.0,4,56,58,0.9844840961986036,1.0,0.4336277998405412,0.0007407407407407407,27.0,0.0,0,56,58,0.9937936384794415,1.0,0.6489422158330254,0.15517241379310345,18.946666666666665,0.0,0,56,58
sensor_degradation,4020084,0.809536494405967,0.8915702479338843,0.8136419549978969,0.2624691358024691,27.0,5.0,5,53,58,0.9802876931273309,1.0,0.48513224019440715,0.0,27.0,0.0,0,53,58,0.9936068193926478,1.0,0.6641977362406362,0.09919571045576407,19.893333333333334,0.0,0,53,58
sensor_degradation,4030091,0.819672131147541,0.9020576131687242,0.9336758256940972,0.3422222222222222,27.0,5.0,4,47,49,0.9816779170684667,1.0,0.38785860894861024,0.007160493827160494,27.0,0.0,0,47,49,0.9909996785599485,1.0,0.6426420820102098,0.12982875348466746,16.74,0.0,0,47,49
sensor_degradation,4040098,0.8544564657393097,0.9191625472521082,0.8237388172241531,0.19037037037037038,27.0,4.0,4,61,64,0.9927872230808862,1.0,0.479540695954396,0.0002469135802469136,27.0,0.0,0,61,64,0.9984544049459042,1.0,0.6561633877361449,0.16912235746316465,20.813333333333333,0.0,0,61,64
sensor_degradation,4050105,0.8469623173545244,0.9135876042908224,0.8431872385168366,0.26469135802469135,27.0,4.0,10,59,63,0.9861573955396052,1.0,0.45261035500117136,0.0022222222222222222,27.0,0.0,0,59,63,0.9966675211484235,1.0,0.6610946629092982,0.08565385971096229,18.913333333333334,0.0,0,59,63
sensor_degradation,4060112,0.8184523809523809,0.9074618882054025,0.8449356124650476,0.2928395061728395,27.0,5.0,3,63,74,0.9842687074829932,1.0,0.532695546710066,0.0,27.0,0.0,0,63,74,0.9955357142857143,1.0,0.6659591436919452,0.14896844660194175,21.973333333333333,0.0,0,63,74
sensor_degradation,4070119,0.8549154334038055,0.9227300060132291,0.7262636880887915,0.22962962962962963,27.0,4.0,5,56,63,0.9918076109936576,1.0,0.46077173197066235,0.0012345679012345679,27.0,0.0,0,56,63,0.9976215644820295,1.0,0.6586943390424689,0.1201510470305527,19.42,0.0,0,56,63
sensor_degradation,4080126,0.8832807570977917,0.9410474362489718,0.6181822915608941,0.1819753086419753,27.0,4.0,4,53,53,0.9808298956563941,1.0,0.39151880970078745,0.0002469135802469136,27.0,0.0,0,53,53,0.9932055326377093,1.0,0.6569701220365795,0.1191391237509608,17.346666666666668,0.0,0,53,53
sensor_degradation,4090133,0.8501759678230266,0.930835734870317,0.8539508429404352,0.2582716049382716,27.0,4.0,4,57,61,0.9886877828054299,1.0,0.4914598905748594,0.0009876543209876543,27.0,0.0,0,57,61,0.9972347913524384,1.0,0.6525764088023974,0.18053777208706787,20.826666666666668,0.0,0,57,61
sensor_degradation,4100140,0.7114624505928854,0.8918609094382881,1.2858751670482194,0.34098765432098765,27.0,4.0,8,55,61,0.9861660079051383,1.0,0.4791911768024783,0.0,27.0,0.0,0,55,61,0.9954827780914738,1.0,0.6544099762509478,0.1310946076848563,20.64666666666667,0.0,0,55,61
sensor_degradation,4110147,0.7616418626980317,0.8978644382544104,1.1034441791263137,0.3160493827160494,27.0,5.0,5,59,61,0.9793566970715314,1.0,0.4817760958070557,0.0,27.0,0.0,0,59,61,0.9930388862217955,1.0,0.6618703783286434,0.09683794466403162,20.24,0.0,0,59,61
sensor_degradation,4120154,0.8079381992541289,0.8960828747167368,0.9145336690462481,0.2590123456790123,27.0,5.0,6,59,66,0.9869472562599894,1.0,0.4715239754048197,0.0002469135802469136,27.0,0.0,0,59,66,0.9954714970697922,1.0,0.6571463174332292,0.13726146635420153,19.913333333333334,0.0,0,59,66
sensor_degradation,4130161,0.8199581297976274,0.9222189609627238,0.9591285915208957,0.23012345679012347,27.0,4.0,4,57,60,0.9820888578739242,1.0,0.4674438196253555,0.0,27.0,0.0,0,57,60,0.9911607350546638,1.0,0.6605340239448156,0.11358811040339703,18.84,0.0,0,57,60
hostility_shift,3900000,0.8373507057546146,0.8899749373433584,0.790980639275168,0.18123456790123457,27.0,4.0,7,76,81,0.9921824104234528,1.0,0.5537428139359221,0.0,27.0,0.0,0,76,81,0.9976112920738328,1.0,0.622752278679136,0.032933296120569354,23.886666666666667,0.0,0,76,81
hostility_shift,3910007,0.8255605381165919,0.9228723404255319,0.9693023822923322,0.1474074074074074,27.0,4.0,7,62,64,0.9948430493273542,1.0,0.4879257305284991,0.0,27.0,0.0,0,62,64,0.997982062780269,1.0,0.6057699469648026,0.03243847874720358,23.84,0.0,0,62,64
hostility_shift,3920014,0.8761548064918852,0.9249381358262304,0.6893381204584645,0.16246913580246913,27.0,4.0,6,65,68,0.9965043695380774,1.0,0.43828781280046686,0.0022222222222222222,27.0,0.0,0,65,68,0.9992509363295881,1.0,0.5750780077317162,0.027978339350180504,22.16,0.0,0,65,68
hostility_shift,3930021,0.7411378555798687,0.8083059002279058,0.9071781870922417,0.2037037037037037,27.0,4.0,9,75,79,0.9908096280087527,1.0,0.5651712165544345,0.0,27.0,0.0,0,75,79,0.9982494529540481,1.0,0.6332907598253057,0.018227009113504555,24.14,0.0,0,75,79
hostility_shift,3940028,0.8279313632030505,0.913729912602199,0.8258865355758374,0.2360493827160494,27.0,4.0,7,65,65,0.9935653002859867,1.0,0.4698689899016607,0.0019753086419753087,27.0,0.0,0,65,65,0.9983317445185891,1.0,0.5980888540653307,0.044075558099599316,23.293333333333333,0.0,0,65,65
hostility_shift,3950035,0.8192682926829268,0.9131210949122285,0.8953140831002236,0.19580246913580246,27.0,4.0,6,64,67,0.988780487804878,1.0,0.4667579433977336,0.0009876543209876543,27.0,0.0,0,64,67,0.9970731707317073,1.0,0.5884707136111391,0.0506658946149392,23.026666666666667,0.0,0,64,67
hostility_shift,3960042,0.8477763659466327,0.9184782608695652,0.7100000723182732,0.29506172839506173,27.0,4.0,6,64,67,0.9870393900889454,1.0,0.4672764303433548,0.0004938271604938272,27.0,0.0,0,64,67,0.9951715374841169,1.0,0.6008116666626123,0.05150088287227781,22.653333333333332,0.0,0,64,67
hostility_shift,3970049,0.8403621634500834,0.9135839005622965,0.8287532749325144,0.2548148148148148,27.0,4.0,1,62,63,0.985465808911127,1.0,0.4750769661269059,0.0002469135802469136,27.0,0.0,0,62,63,0.9952346914462712,1.0,0.6017187531551611,0.042898550724637684,23.0,0.0,0,62,63
hostility_shift,3980056,0.8313554028732042,0.9129063561377971,0.9016715252889673,0.21481481481481482,27.0,4.0,12,83,86,0.9918800749531543,1.0,0.5549971103062931,0.0,27.0,0.0,0,83,86,0.9968769519050593,1.0,0.6255386342542503,0.026533996683250415,24.12,0.0,0,83,86
hostility_shift,3990063,0.8885392079727249,0.932689493707931,0.6460810790400168,0.23555555555555555,27.0,3.0,7,62,65,0.993443482821925,1.0,0.43432305189641385,0.010864197530864197,27.0,0.0,0,62,65,0.998688696564385,1.0,0.5787447518216315,0.03861600247142416,21.58,0.0,0,62,65
