condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
benign,peer_reputation,4120154,500,1200,0,0.9108333333333334,0.9975,0.08688387635756056,0.0,16.272644098810613,17786,0,0.0,0.9859012680992089,0.0
benign,constraint_contract,4120154,500,1200,0,0.9458333333333333,0.9725,0.027420736932305057,0.0,14.694273127753304,16678,72000,0.0220708446866485,0.9861831474975046,0.01
benign,peer_reputation,4130161,500,1200,0,0.9241666666666667,0.9991666666666666,0.0750625521267723,0.0,15.69522091974752,17406,0,0.0,0.993996138438349,0.0
benign,constraint_contract,4130161,500,1200,0,0.9608333333333333,0.9825,0.02205258693808312,0.0,14.426712922810061,16634,72000,0.026658081133290407,0.9935275440372662,0.006666666666666667
benign,peer_reputation,4140168,500,1200,0,0.9158333333333334,1.0,0.08416666666666667,0.0,15.989080982711556,17572,0,0.0,0.9928993337743699,0.0
benign,constraint_contract,4140168,500,1200,0,0.9566666666666667,0.9791666666666666,0.02297872340425532,0.0,14.489547038327526,16634,72000,0.02382192137464202,0.9919227498845486,0.01
benign,peer_reputation,4150175,500,1200,0,0.9008333333333334,0.9991666666666666,0.09841534612176814,0.0,16.738205365402404,18094,0,0.0,0.9963608552821286,0.0
benign,constraint_contract,4150175,500,1200,0,0.9425,0.9675,0.025839793281653745,0.0,14.832007073386384,16775,72000,0.023762113367848135,0.993908833843997,0.010833333333333334
benign,peer_reputation,4160182,500,1200,0,0.92,0.9991666666666666,0.07923269391159299,0.0,16.059782608695652,17730,0,0.0,0.9935027182963706,0.0
benign,constraint_contract,4160182,500,1200,0,0.9575,0.9841666666666666,0.027095681625740897,0.0,14.573542210617928,16745,72000,0.024806615097359295,0.9947509002089682,0.0025
benign,peer_reputation,4170189,500,1200,0,0.94,0.9991666666666666,0.05921601334445371,0.0,15.650709219858156,17654,0,0.0,0.9790262041210623,0.0
benign,constraint_contract,4170189,500,1200,0,0.9566666666666667,0.98,0.023809523809523808,0.0,14.543554006968641,16696,72000,0.020914523252792933,0.9955848121594632,0.006666666666666667
benign,peer_reputation,4180196,500,1200,0,0.9033333333333333,0.9991666666666666,0.09591326105087573,0.0,16.706642066420663,18110,0,0.0,0.9983409096882275,0.0
benign,constraint_contract,4180196,500,1200,0,0.9466666666666667,0.9716666666666667,0.025728987993138937,0.0,14.767605633802816,16776,72000,0.023100907029478458,0.9987596303211279,0.016666666666666666
benign,peer_reputation,4190203,500,1200,0,0.9083333333333333,0.9991666666666666,0.09090909090909091,0.0,16.41651376146789,17894,0,0.0,0.9894774437887678,0.0
benign,constraint_contract,4190203,500,1200,0,0.9475,0.9658333333333333,0.01898188093183779,0.0,14.687774846086192,16700,72000,0.02451108213820078,0.9851747381398103,0.018333333333333333
independent_compromise_10pct,peer_reputation,4900000,500,1200,0,0.9116666666666666,0.9991666666666666,0.08757297748123437,0.005838198498748957,16.513711151736747,18066,0,0.0,0.9875373695215489,0.0
independent_compromise_10pct,constraint_contract,4900000,500,1200,0,0.93,0.9525,0.023622047244094488,0.0,14.99731182795699,16737,72000,0.058673469387755105,0.989221432398824,0.029166666666666667
